id,name
2920377,Self - Former Syrian Military Gen.
964843,Self
1348088,Self (archive footage)
1977908,Self
3089883,Self
1608713,Self
66620,Self
3451053,Self
3527796,Self
1745467,Self
13309,Self
4322819,Don Rowell
4322822,The Boss
4492761,Richard Chase
3660512,Parker H. Liberatore / Additional Voices
4492711,Sir Samuel Ruff
3125,Self / Narrator (voice)
9281,Hope Goldman
1700685,Jordan
936254,Angel Vergara
123725,
125025,Junie Garrison
120831,
1156586,
6944,Dorothy Vaughan
1005852,Mary Jackson
47646,Tamara
72858,William
58737,Self - Host
475512,Self
13636,Self
212208,Self
1025375,Self
