station_name,total_count
Wolsley St / Palmerston Ave - SMART,4481.0
Woodbine Ave / Lake Shore Blvd E,22263.0
Woodbine Ave / O'Connor Dr - SMART,651.0
Woodbine Subway Green P SMART,2597.0
Woodbine Subway Station - SMART,5825.0
Wright / Sorauren (Sorauren Park) - SMART,11309.0
Wychwood Ave / Benson Ave - SMART,15551.0
Yarmouth Rd / Christie St,31502.0
Yonge St / Alexander St - SMART,31380.0
Yonge St / Aylmer Ave,10823.0
Yonge St / Bloor St,70025.0
Yonge St / Davisville Ave,11023.0
Yonge St / Dundas Sq,61833.0
Yonge St / Dundonald St - SMART,74336.0
Yonge St / Golfdale Rd - SMART,798.0
Yonge St / Harbour St,21802.0
Yonge St / St Clair Ave,3873.0
Yonge St / Wood St,66516.0
Yonge St / Yorkville Ave,64924.0
York St / Harbour St,44261.0
York St / Lake Shore Blvd W,44047.0
York St / Queens Quay W,122607.0
